id,pop_size,ngen,cxpb,mutpb,seed,best_penalized,best_clean,time_sec,timestamp
1,150,800,0.8,0.3,5,1204.1914857098996,1139.8914857098994,396.329119682312,2025-12-11 10:08:51
2,150,800,0.8,0.3,7,1266.649855149557,1128.849855149557,402.28441643714905,2025-12-11 10:08:57
3,150,800,0.8,0.3,6,1330.3856415871842,1159.435641587184,411.14043521881104,2025-12-11 10:09:06
4,150,800,0.8,0.3,2,1323.0067093990497,1162.5067093990497,421.32003593444824,2025-12-11 10:09:16
5,150,800,0.8,0.3,1,1184.62929240108,1153.87929240108,421.8900074958801,2025-12-11 10:09:17
6,150,800,0.8,0.3,4,1203.956204335661,1181.4062043356612,425.54646492004395,2025-12-11 10:09:20
7,150,800,0.8,0.3,3,1365.0983399593922,1238.5483399593923,438.367684841156,2025-12-11 10:09:33
8,150,800,0.8,0.3,0,1187.650865276334,1140.0508652763338,438.5099050998688,2025-12-11 10:09:33
9,150,800,0.8,0.3,8,1155.950360212945,1124.950360212945,390.5972239971161,2025-12-11 10:15:22
10,150,800,0.8,0.3,10,1247.8513703397218,1096.1513703397218,383.4616870880127,2025-12-11 10:15:29
11,150,800,0.8,0.3,13,1196.8229432149756,1079.3229432149756,377.9888572692871,2025-12-11 10:15:38
12,150,800,0.8,0.3,9,1330.506204335661,1152.4062043356612,402.84083580970764,2025-12-11 10:15:40
13,150,800,0.8,0.3,12,1123.0861466505721,1100.536146650572,399.9190230369568,2025-12-11 10:15:57
14,150,800,0.8,0.3,11,1139.9224381515874,1100.222438151587,404.7035129070282,2025-12-11 10:16:01
15,150,800,0.8,0.3,14,1244.4856415871836,1156.435641587184,412.1505706310272,2025-12-11 10:16:25
16,150,800,0.8,0.3,15,1229.4650788387069,1162.4650788387069,418.942236661911,2025-12-11 10:16:32
17,150,800,0.8,0.3,16,1190.1072144624372,1096.6072144624372,393.31292724609375,2025-12-11 10:21:55
18,150,800,0.8,0.3,19,1237.4782822743032,1156.678282274303,407.1510555744171,2025-12-11 10:22:27
19,150,800,0.8,0.3,17,1565.4356415871841,1175.4356415871841,432.0595712661743,2025-12-11 10:22:41
20,150,800,0.8,0.3,21,1664.1797974644683,1136.979797464468,405.2101912498474,2025-12-11 10:22:46
21,150,800,0.8,0.3,18,1427.799350086169,1201.7493500861688,429.7214334011078,2025-12-11 10:22:48
22,150,800,0.8,0.3,20,1189.3577195258263,1163.7077195258262,422.6257939338684,2025-12-11 10:22:59
23,150,800,0.8,0.3,22,1217.5067093990494,1150.5067093990492,401.5623118877411,2025-12-11 10:23:07
24,150,800,0.8,0.3,23,1393.0351365237957,1263.3351365237959,478.42784881591797,2025-12-11 10:24:31
25,150,800,0.8,0.3,24,1595.3792924010797,1117.8792924010797,388.2598686218262,2025-12-11 10:28:23
26,150,800,0.8,0.3,25,1191.6587296526025,1080.9087296526025,360.7094051837921,2025-12-11 10:28:28
27,150,800,0.8,0.3,26,1514.8082245892142,1122.8082245892142,367.83521795272827,2025-12-11 10:28:49
28,150,800,0.8,0.3,29,1511.858729652603,1121.9087296526027,353.3457238674164,2025-12-11 10:28:53
29,150,800,0.8,0.3,28,1350.9209229614225,1168.9209229614225,364.96090483665466,2025-12-11 10:28:53
30,150,800,0.8,0.3,27,1692.4861466505722,1161.5361466505724,375.93839502334595,2025-12-11 10:29:02
31,150,800,0.8,0.3,30,1188.3292924010798,1158.87929240108,365.95750546455383,2025-12-11 10:29:13
